filename,width,height,aspect_ratio,file_size_mb,resolution,channels
10004.png,512,512,1.0,0.14187240600585938,512x512,3
10010.png,512,512,1.0,0.14687061309814453,512x512,3
10014.png,512,512,1.0,0.17844676971435547,512x512,3
10017.png,512,512,1.0,0.13871192932128906,512x512,3
10037.png,512,512,1.0,0.03933525085449219,512x512,3
10064.png,512,512,1.0,0.1674041748046875,512x512,3
1007.png,512,512,1.0,0.041721343994140625,512x512,3
10072.png,512,512,1.0,0.19475078582763672,512x512,3
10083.png,512,512,1.0,0.13421249389648438,512x512,3
10112.png,512,512,1.0,0.061171531677246094,512x512,3
10132.png,512,512,1.0,0.17810726165771484,512x512,3
10135.png,512,512,1.0,0.14007854461669922,512x512,3
10173.png,512,512,1.0,0.1102895736694336,512x512,3
1019.png,512,512,1.0,0.1540679931640625,512x512,3
10191.png,512,512,1.0,0.20551109313964844,512x512,3
10199.png,512,512,1.0,0.17825031280517578,512x512,3
10210.png,512,512,1.0,0.14316177368164062,512x512,3
10221.png,512,512,1.0,0.12853145599365234,512x512,3
10241.png,512,512,1.0,0.17910194396972656,512x512,3
1025.png,512,512,1.0,0.28205299377441406,512x512,3
10282.png,512,512,1.0,0.19858169555664062,512x512,3
10293.png,512,512,1.0,0.12932872772216797,512x512,3
10297.png,512,512,1.0,0.18912220001220703,512x512,3
103.png,512,512,1.0,0.26102447509765625,512x512,3
10306.png,512,512,1.0,0.18817424774169922,512x512,3
10316.png,512,512,1.0,0.14824676513671875,512x512,3
10332.png,512,512,1.0,0.09733963012695312,512x512,3
10334.png,512,512,1.0,0.2158069610595703,512x512,3
1034.png,512,512,1.0,0.2709970474243164,512x512,3
10346.png,512,512,1.0,0.1349620819091797,512x512,3
1035.png,512,512,1.0,0.20360946655273438,512x512,3
10356.png,512,512,1.0,0.15101337432861328,512x512,3
1036.png,512,512,1.0,0.35867786407470703,512x512,3
10360.png,512,512,1.0,0.13669872283935547,512x512,3
10362.png,512,512,1.0,0.04808330535888672,512x512,3
10385.png,512,512,1.0,0.2777566909790039,512x512,3
10386.png,512,512,1.0,0.22432518005371094,512x512,3
1039.png,512,512,1.0,0.2152700424194336,512x512,3
10391.png,512,512,1.0,0.11768531799316406,512x512,3
10392.png,512,512,1.0,0.13895225524902344,512x512,3
10395.png,512,512,1.0,0.2535533905029297,512x512,3
10403.png,512,512,1.0,0.13984298706054688,512x512,3
10408.png,512,512,1.0,0.08431339263916016,512x512,3
10413.png,512,512,1.0,0.11306953430175781,512x512,3
10414.png,512,512,1.0,0.2242441177368164,512x512,3
10422.png,512,512,1.0,0.14034748077392578,512x512,3
10423.png,512,512,1.0,0.1425933837890625,512x512,3
10441.png,512,512,1.0,0.1649322509765625,512x512,3
10443.png,512,512,1.0,0.04783916473388672,512x512,3
10457.png,512,512,1.0,0.07329368591308594,512x512,3
10458.png,512,512,1.0,0.10295391082763672,512x512,3
10470.png,512,512,1.0,0.16691112518310547,512x512,3
10504.png,512,512,1.0,0.13530731201171875,512x512,3
10519.png,512,512,1.0,0.11805915832519531,512x512,3
10525.png,512,512,1.0,0.12804794311523438,512x512,3
10538.png,512,512,1.0,0.12384223937988281,512x512,3
10541.png,512,512,1.0,0.20203781127929688,512x512,3
10552.png,512,512,1.0,0.12474441528320312,512x512,3
10568.png,512,512,1.0,0.15868186950683594,512x512,3
10586.png,512,512,1.0,0.177154541015625,512x512,3
10587.png,512,512,1.0,0.1398935317993164,512x512,3
10602.png,512,512,1.0,0.23683738708496094,512x512,3
10615.png,512,512,1.0,0.16714954376220703,512x512,3
10635.png,512,512,1.0,0.1311168670654297,512x512,3
10666.png,512,512,1.0,0.0988779067993164,512x512,3
10669.png,512,512,1.0,0.03131866455078125,512x512,3
10674.png,512,512,1.0,0.13899898529052734,512x512,3
10676.png,512,512,1.0,0.17240333557128906,512x512,3
10689.png,512,512,1.0,0.18282699584960938,512x512,3
107.png,512,512,1.0,0.2911376953125,512x512,3
1072.png,512,512,1.0,0.06157970428466797,512x512,3
10721.png,512,512,1.0,0.20592880249023438,512x512,3
10722.png,512,512,1.0,0.15140533447265625,512x512,3
10748.png,512,512,1.0,0.13031387329101562,512x512,3
10757.png,512,512,1.0,0.11879539489746094,512x512,3
10776.png,512,512,1.0,0.20737743377685547,512x512,3
1078.png,512,512,1.0,0.2002725601196289,512x512,3
10785.png,512,512,1.0,0.11645698547363281,512x512,3
10789.png,512,512,1.0,0.0898580551147461,512x512,3
10796.png,512,512,1.0,0.09795188903808594,512x512,3
108.png,512,512,1.0,0.1306591033935547,512x512,3
1081.png,512,512,1.0,0.07848262786865234,512x512,3
1082.png,512,512,1.0,0.2939109802246094,512x512,3
1092.png,512,512,1.0,0.20832443237304688,512x512,3
1095.png,512,512,1.0,0.18693923950195312,512x512,3
1097.png,512,512,1.0,0.13123798370361328,512x512,3
11038.png,512,512,1.0,0.1270732879638672,512x512,3
11039.png,512,512,1.0,0.08178234100341797,512x512,3
11078.png,512,512,1.0,0.08355522155761719,512x512,3
11088.png,512,512,1.0,0.21428585052490234,512x512,3
11091.png,512,512,1.0,0.05285453796386719,512x512,3
11095.png,512,512,1.0,0.12792491912841797,512x512,3
11107.png,512,512,1.0,0.1870441436767578,512x512,3
11131.png,512,512,1.0,0.22048282623291016,512x512,3
11132.png,512,512,1.0,0.1343374252319336,512x512,3
1115.png,512,512,1.0,0.1300506591796875,512x512,3
11186.png,512,512,1.0,0.09528732299804688,512x512,3
11197.png,512,512,1.0,0.2433013916015625,512x512,3
11208.png,512,512,1.0,0.2004833221435547,512x512,3
11211.png,512,512,1.0,0.1243743896484375,512x512,3
11221.png,512,512,1.0,0.187957763671875,512x512,3
11246.png,512,512,1.0,0.1569805145263672,512x512,3
11255.png,512,512,1.0,0.15919017791748047,512x512,3
11256.png,512,512,1.0,0.24425506591796875,512x512,3
11262.png,512,512,1.0,0.11313819885253906,512x512,3
11263.png,512,512,1.0,0.24166107177734375,512x512,3
11271.png,512,512,1.0,0.12956523895263672,512x512,3
11272.png,512,512,1.0,0.05547523498535156,512x512,3
11296.png,512,512,1.0,0.1593475341796875,512x512,3
11317.png,512,512,1.0,0.13460254669189453,512x512,3
11357.png,512,512,1.0,0.12546443939208984,512x512,3
11362.png,512,512,1.0,0.13440704345703125,512x512,3
11365.png,512,512,1.0,0.07581233978271484,512x512,3
11377.png,512,512,1.0,0.10532855987548828,512x512,3
1138.png,512,512,1.0,0.09198665618896484,512x512,3
11384.png,512,512,1.0,0.13173770904541016,512x512,3
1140.png,512,512,1.0,0.28984832763671875,512x512,3
11436.png,512,512,1.0,0.062438011169433594,512x512,3
11437.png,512,512,1.0,0.4680957794189453,512x512,3
1144.png,512,512,1.0,0.21894168853759766,512x512,3
11442.png,512,512,1.0,0.09635448455810547,512x512,3
11459.png,512,512,1.0,0.11956310272216797,512x512,3
1146.png,512,512,1.0,0.21535778045654297,512x512,3
11467.png,512,512,1.0,0.16619110107421875,512x512,3
1152.png,512,512,1.0,0.21626949310302734,512x512,3
11538.png,512,512,1.0,0.14275646209716797,512x512,3
11553.png,512,512,1.0,0.16361713409423828,512x512,3
11555.png,512,512,1.0,0.06476593017578125,512x512,3
11564.png,512,512,1.0,0.1382923126220703,512x512,3
11588.png,512,512,1.0,0.1715402603149414,512x512,3
11589.png,512,512,1.0,0.06959342956542969,512x512,3
11613.png,512,512,1.0,0.13953018188476562,512x512,3
11649.png,512,512,1.0,0.06849384307861328,512x512,3
11667.png,512,512,1.0,0.09141063690185547,512x512,3
11685.png,512,512,1.0,0.17050647735595703,512x512,3
11686.png,512,512,1.0,0.03836250305175781,512x512,3
11701.png,512,512,1.0,0.08246612548828125,512x512,3
11704.png,512,512,1.0,0.20363140106201172,512x512,3
11751.png,512,512,1.0,0.11981391906738281,512x512,3
11760.png,512,512,1.0,0.2115306854248047,512x512,3
11772.png,512,512,1.0,0.1968536376953125,512x512,3
11775.png,512,512,1.0,0.20641326904296875,512x512,3
11790.png,512,512,1.0,0.10039710998535156,512x512,3
11797.png,512,512,1.0,0.13443279266357422,512x512,3
11818.png,512,512,1.0,0.22926044464111328,512x512,3
11834.png,512,512,1.0,0.1365518569946289,512x512,3
11847.png,512,512,1.0,0.15592193603515625,512x512,3
11855.png,512,512,1.0,0.07873249053955078,512x512,3
1187.png,512,512,1.0,0.10543632507324219,512x512,3
11873.png,512,512,1.0,0.1254730224609375,512x512,3
11894.png,512,512,1.0,0.141510009765625,512x512,3
11896.png,512,512,1.0,0.2017803192138672,512x512,3
11897.png,512,512,1.0,0.08675956726074219,512x512,3
11902.png,512,512,1.0,0.24428749084472656,512x512,3
11911.png,512,512,1.0,0.04072093963623047,512x512,3
11927.png,512,512,1.0,0.27454471588134766,512x512,3
11936.png,512,512,1.0,0.17931079864501953,512x512,3
11940.png,512,512,1.0,0.15877056121826172,512x512,3
11944.png,512,512,1.0,0.1373577117919922,512x512,3
11952.png,512,512,1.0,0.03339385986328125,512x512,3
11964.png,512,512,1.0,0.14112281799316406,512x512,3
11981.png,512,512,1.0,0.12910079956054688,512x512,3
12003.png,512,512,1.0,0.18987369537353516,512x512,3
1203.png,512,512,1.0,0.14016151428222656,512x512,3
12032.png,512,512,1.0,0.12788867950439453,512x512,3
12035.png,512,512,1.0,0.15184974670410156,512x512,3
12047.png,512,512,1.0,0.10962104797363281,512x512,3
12060.png,512,512,1.0,0.11735725402832031,512x512,3
12076.png,512,512,1.0,0.20827960968017578,512x512,3
1208.png,512,512,1.0,0.21268558502197266,512x512,3
12102.png,512,512,1.0,0.09128475189208984,512x512,3
12112.png,512,512,1.0,0.17435741424560547,512x512,3
1212.png,512,512,1.0,0.11900138854980469,512x512,3
12126.png,512,512,1.0,0.18550586700439453,512x512,3
12130.png,512,512,1.0,0.2489309310913086,512x512,3
12137.png,512,512,1.0,0.1905813217163086,512x512,3
12150.png,512,512,1.0,0.18784046173095703,512x512,3
12153.png,512,512,1.0,0.126220703125,512x512,3
12163.png,512,512,1.0,0.2540273666381836,512x512,3
12168.png,512,512,1.0,0.13435840606689453,512x512,3
12190.png,512,512,1.0,0.2424907684326172,512x512,3
12197.png,512,512,1.0,0.2468242645263672,512x512,3
1221.png,512,512,1.0,0.21751689910888672,512x512,3
12235.png,512,512,1.0,0.15054988861083984,512x512,3
12237.png,512,512,1.0,0.11693954467773438,512x512,3
12239.png,512,512,1.0,0.10887527465820312,512x512,3
12257.png,512,512,1.0,0.1866617202758789,512x512,3
12267.png,512,512,1.0,0.044381141662597656,512x512,3
12269.png,512,512,1.0,0.12674903869628906,512x512,3
12270.png,512,512,1.0,0.15684795379638672,512x512,3
12278.png,512,512,1.0,0.10138416290283203,512x512,3
12286.png,512,512,1.0,0.15749454498291016,512x512,3
12290.png,512,512,1.0,0.20970630645751953,512x512,3
12291.png,512,512,1.0,0.16209793090820312,512x512,3
12294.png,512,512,1.0,0.126129150390625,512x512,3
1230.png,512,512,1.0,0.11330699920654297,512x512,3
1244.png,512,512,1.0,0.05313396453857422,512x512,3
1245.png,512,512,1.0,0.0708913803100586,512x512,3
